subject_area,n_citing_papers
Genetics,269
Plant Science,78
"Ecology, Evolution, Behavior and Systematics",59
Molecular Biology,51
Ecology,38
Insect Science,24
Nature and Landscape Conservation,13
Parasitology,12
"Public Health, Environmental and Occupational Health",12
Food Science,11
Oceanography,11
Cell Biology,10
Global and Planetary Change,10
Ecological Modeling,7
Epidemiology,6
Agronomy and Crop Science,5
Infectious Diseases,5
Paleontology,5
Social Psychology,4
Animal Science and Zoology,3
Aquatic Science,3
Biochemistry,3
Environmental Chemistry,3
Immunology,3
Complementary and alternative medicine,2
Endocrinology,2
"Management, Monitoring, Policy and Law",2
Microbiology,2
Nutrition and Dietetics,2
Pathology and Forensic Medicine,2
Archeology,1
Atmospheric Science,1
Cellular and Molecular Neuroscience,1
"Geography, Planning and Development",1
History,1
Pharmacology,1
Pulmonary and Respiratory Medicine,1
Spectroscopy,1
