arm	ploidy	theta_nominal	stat	estimator	mean	q025	q975	theoretical	bias	bias_pct
dxy_dip_2pop_theta005	diploid	0.005	dxy	new	0.011064505215220467	0.008268125893428891	0.014176442338466221	0.011304107971709304	-2.3960275648883707e-4	-2.119607819462525
dxy_dip_2pop_theta005	diploid	0.005	dxy	new_multi	0.0113067540875	0.00845095	0.014498887499999988	0.011304107971709304	2.646115790696721e-6	0.02340844405696701
dxy_dip_2pop_theta005	diploid	0.005	fst_hudson	new	0.23708701216185846	0.19507435606314397	0.28612415854500567	0.23695960499175686	1.2740717010159552e-4	0.05376746391268995
dxy_dip_2pop_theta005	diploid	0.005	fst_hudson	new_multi	0.23690152372481468	0.19523940165501852	0.28575367725747836	0.23676439464869992	1.37129076114767e-4	0.05791794679188684
dxy_dip_2pop_theta005	diploid	0.005	fst_hudson	new_multi_fstbi	0.23708221275646116	0.19504290804535565	0.2864207626770567	0.23695960499175686	1.2260776470429668e-4	0.05174205312697152
dxy_dip_2pop_theta010	diploid	0.01	dxy	new	0.02138418371752706	0.017465905981881774	0.025502290800242546	0.022311782372184452	-9.275986546573925e-4	-4.15743860882135
dxy_dip_2pop_theta010	diploid	0.01	dxy	new_multi	0.022303303475	0.0181886375	0.026604768749999997	0.022311782372184452	-8.478897184450995e-6	-0.03800188188919155
dxy_dip_2pop_theta010	diploid	0.01	fst_hudson	new	0.23669855483382404	0.20539393863236374	0.2727147623207185	0.23695960499175686	-2.610501579328184e-4	-0.11016652308392376
dxy_dip_2pop_theta010	diploid	0.01	fst_hudson	new_multi	0.23632764262042738	0.2051591123861153	0.2717863345884438	0.2365693851853885	-2.4174256496112267e-4	-0.1021867494695817
dxy_dip_2pop_theta010	diploid	0.01	fst_hudson	new_multi_fstbi	0.23669860200085502	0.20543874287757724	0.2726914854499746	0.23695960499175686	-2.61002990901843e-4	-0.11014661799040495
dxy_dip_2pop_theta025	diploid	0.025	dxy	new	0.04869561699517433	0.0430968429320823	0.054474688985536666	0.053667447720341516	-0.004971830725167187	-9.264146025864985
dxy_dip_2pop_theta025	diploid	0.025	dxy	new_multi	0.05369335205	0.047424975	0.06012653125	0.053667447720341516	2.5904329658481273e-5	0.048268234765825806
dxy_dip_2pop_theta025	diploid	0.025	fst_hudson	new	0.23685632544583246	0.21622385203359917	0.2582220053369781	0.23695960499175686	-1.032795459244007e-4	-0.043585296290476805
dxy_dip_2pop_theta025	diploid	0.025	fst_hudson	new_multi	0.23596153361665262	0.21564388051582312	0.2569708890301807	0.23598556015497418	-2.4026538321564317e-5	-0.010181359531399226
dxy_dip_2pop_theta025	diploid	0.025	fst_hudson	new_multi_fstbi	0.23686125264433947	0.21629227927778708	0.25828679229250656	0.23695960499175686	-9.83523474173964e-5	-0.04150595516937066
dxy_dip_2pop_theta050	diploid	0.05	dxy	new	0.08484032503599317	0.07816326787501136	0.09174018678566476	0.10095794568023964	-0.01611762064424646	-15.964687608932936
dxy_dip_2pop_theta050	diploid	0.05	dxy	new_multi	0.100965122775	0.09291299374999999	0.109205	0.10095794568023964	7.177094760363323e-6	0.007108994455072481
dxy_dip_2pop_theta050	diploid	0.05	fst_hudson	new	0.2365914571003228	0.2223918969621451	0.2518032488451602	0.23695960499175686	-3.681478914340508e-4	-0.15536314362393439
dxy_dip_2pop_theta050	diploid	0.05	fst_hudson	new_multi	0.23479715756518055	0.22093937392696258	0.24938867494745992	0.23501651813644586	-2.193605712653146e-4	-0.09333836319452161
dxy_dip_2pop_theta050	diploid	0.05	fst_hudson	new_multi_fstbi	0.23660777759947824	0.2224020212221122	0.2517308983735675	0.23695960499175686	-3.5182739227862525e-4	-0.14847568314053541
dxy_dip_2pop_theta100	diploid	0.1	dxy	new	0.13570864467472288	0.12834611024424075	0.14312479376685722	0.18043867343007697	-0.04473002875535409	-24.78960186585928
dxy_dip_2pop_theta100	diploid	0.1	dxy	new_multi	0.18042142995	0.17095814375	0.18980783125	0.18043867343007697	-1.724348007697829e-5	-0.009556421441803844
dxy_dip_2pop_theta100	diploid	0.1	fst_hudson	new	0.23657157600888368	0.22584116289068681	0.24714383738015452	0.23695960499175686	-3.880289828731842e-4	-0.16375321983115335
dxy_dip_2pop_theta100	diploid	0.1	fst_hudson	new_multi	0.23306944535107724	0.22273426635827337	0.2428822714022781	0.23309334691476158	-2.3901563684342042e-5	-0.010254073743718842
dxy_dip_2pop_theta100	diploid	0.1	fst_hudson	new_multi_fstbi	0.236608388978348	0.22582353823577514	0.2472772580719038	0.23695960499175686	-3.5121601340887265e-4	-0.14821767339673378
dxy_oct_2pop_theta005	octoploid	0.005	dxy	new	0.010957362674425345	0.00821451143309384	0.013963143184456649	0.011304107971709304	-3.467452972839586e-4	-3.0674273295314864
dxy_oct_2pop_theta005	octoploid	0.005	dxy	new_multi	0.01129764283046875	0.008465764843750001	0.014407063281249998	0.011304107971709304	-6.465141240554612e-6	-0.057192847562451334
dxy_oct_2pop_theta005	octoploid	0.005	fst_hudson	new	0.2366768745980799	0.19865786548192965	0.27946508810899207	0.23695960499175686	-2.8273039367696096e-4	-0.11931586132024331
dxy_oct_2pop_theta005	octoploid	0.005	fst_hudson	new_multi	0.2365051943555982	0.19879426780155451	0.27856332073491535	0.23676439464869992	-2.5920029310172454e-4	-0.10947604410127375
dxy_oct_2pop_theta005	octoploid	0.005	fst_hudson	new_multi_fstbi	0.23667618442108776	0.198571123986381	0.27945592939063557	0.23695960499175686	-2.8342057066910176e-4	-0.11960712488483476
dxy_oct_2pop_theta010	octoploid	0.01	dxy	new	0.02104369080881462	0.0173353587420541	0.024991489374042473	0.022311782372184452	-0.0012680915633698324	-5.683506329600682
dxy_oct_2pop_theta010	octoploid	0.01	dxy	new_multi	0.022323223065625	0.018356394921874998	0.02654165234375	0.022311782372184452	1.1440693440549488e-5	0.051276465724281704
dxy_oct_2pop_theta010	octoploid	0.01	fst_hudson	new	0.23729343346276233	0.20904146630438297	0.2672520793997181	0.23695960499175686	3.338284710054651e-4	0.14087990694324376
dxy_oct_2pop_theta010	octoploid	0.01	fst_hudson	new_multi	0.23701387382837305	0.2086652517043065	0.26664364983631567	0.2365693851853885	4.444886429845474e-4	0.18788933430089533
dxy_oct_2pop_theta010	octoploid	0.01	fst_hudson	new_multi_fstbi	0.23729480373276413	0.208997159226125	0.26725844279684835	0.23695960499175686	3.351987410072643e-4	0.1414581785021649
dxy_oct_2pop_theta025	octoploid	0.025	dxy	new	0.04692809588102791	0.041567281169425326	0.05238333872694067	0.053667447720341516	-0.006739351839313602	-12.557615697381474
dxy_oct_2pop_theta025	octoploid	0.025	dxy	new_multi	0.053684230484375	0.047536847265625	0.05991779765624999	0.053667447720341516	1.6782764033482223e-5	0.031271775995266995
dxy_oct_2pop_theta025	octoploid	0.025	fst_hudson	new	0.23680047699960888	0.2181924594761181	0.25547066347514963	0.23695960499175686	-1.591279921479838e-4	-0.06715405866477511
dxy_oct_2pop_theta025	octoploid	0.025	fst_hudson	new_multi	0.23603671746039792	0.21760619156882854	0.25498608320456284	0.23598556015497418	5.1157305423737975e-5	0.021678150726740415
dxy_oct_2pop_theta025	octoploid	0.025	fst_hudson	new_multi_fstbi	0.23680117484784063	0.21821788854783922	0.2555008113238426	0.23695960499175686	-1.5843014391622723e-4	-0.06685955773843333
dxy_oct_2pop_theta050	octoploid	0.05	dxy	new	0.07986656064357307	0.07345814475801328	0.08633251221085872	0.10095794568023964	-0.021091385036666563	-20.891258131844843
dxy_oct_2pop_theta050	octoploid	0.05	dxy	new_multi	0.10095390155703125	0.0929875046875	0.10898664062499998	0.10095794568023964	-4.044123208382655e-6	-0.004005750296456563
dxy_oct_2pop_theta050	octoploid	0.05	fst_hudson	new	0.23651657604102544	0.22326986943099103	0.24999455188733918	0.23695960499175686	-4.4302895073142223e-4	-0.18696391342601787
dxy_oct_2pop_theta050	octoploid	0.05	fst_hudson	new_multi	0.23500785085101292	0.22200381445010844	0.24806522766107356	0.23501651813644586	-8.667285432945038e-6	-0.0036879473416047233
dxy_oct_2pop_theta050	octoploid	0.05	fst_hudson	new_multi_fstbi	0.23652295632407153	0.22332848340889572	0.2500825545937643	0.23695960499175686	-4.366486676853354e-4	-0.18427135194647423
dxy_oct_2pop_theta100	octoploid	0.1	dxy	new	0.124506273434718	0.117598965891209	0.13163140833684223	0.18043867343007697	-0.05593239999535897	-30.998011087148523
dxy_oct_2pop_theta100	octoploid	0.1	dxy	new_multi	0.18045111653046875	0.17111692734375	0.18973621093749998	0.18043867343007697	1.2443100391779094e-5	0.00689602741764836
dxy_oct_2pop_theta100	octoploid	0.1	fst_hudson	new	0.23612019724534317	0.22669215508919704	0.24566901703681343	0.23695960499175686	-8.394077464136951e-4	-0.35424086161980883
dxy_oct_2pop_theta100	octoploid	0.1	fst_hudson	new_multi	0.23308324516770498	0.22411328877721723	0.24228704238072718	0.23309334691476158	-1.0101747056595611e-5	-0.004333777514589318
dxy_oct_2pop_theta100	octoploid	0.1	fst_hudson	new_multi_fstbi	0.23613025495835285	0.2266373270948974	0.24575829208706998	0.23695960499175686	-8.293500334040083e-4	-0.3499963774132975
