ploidy	miss_pct	n_chrom	n_chrom_eff	mean_D	se_D	n_windows
2	0.0	20	20	-0.033308	0.000524	80000
2	0.1	20	20	-0.033356	0.000526	80000
2	0.25	20	18	-0.034715	0.000510	80000
2	0.5	20	16	-0.036810	0.000499	80000
2	0.75	20	12	-0.040125	0.000461	80000
4	0.0	40	40	-0.025342	0.000524	80000
4	0.1	40	40	-0.025353	0.000526	80000
4	0.25	40	36	-0.026770	0.000520	80000
4	0.5	40	32	-0.028516	0.000518	80000
4	0.75	40	24	-0.032786	0.000503	80000
6	0.0	60	60	-0.019632	0.000522	80000
6	0.1	60	60	-0.019640	0.000525	80000
6	0.25	60	54	-0.021011	0.000522	80000
6	0.5	60	48	-0.022813	0.000524	80000
6	0.75	60	36	-0.026809	0.000516	80000
8	0.0	80	80	-0.015462	0.000520	80000
8	0.1	80	80	-0.015440	0.000523	80000
8	0.25	80	72	-0.017089	0.000521	80000
8	0.5	80	64	-0.018939	0.000526	80000
8	0.75	80	48	-0.022651	0.000523	80000
