stat	ploidy	estimator	n_windows	mean	q025	q975	theoretical
dxy	2	new	20390	0.06839977889308937	0.06215276641439928	0.07486572433740728	0.07855381727658725
dxy	2	new_multi	20390	0.0785887211625	0.07123070625	0.08608586249999997	0.07855381727658725
dxy	2	old	20390	0.06839977878931948	0.06215276641439967	0.07486572433740771	0.07855381727658725
dxy	4	new	20000	0.06663026757835569	0.06053932397616778	0.07278597776818665	0.07855381727658725
dxy	4	new_multi	20000	0.07853644593125	0.071219325	0.0858658453125	0.07855381727658725
dxy	6	new	20000	0.06567465452195297	0.05967349013870767	0.07184665166697873	0.07855381727658725
dxy	6	new_multi	20000	0.07855299764166666	0.07136211527777787	0.08588985208333329	0.07855381727658725
dxy	8	new	20000	0.06501090309109966	0.0590252157950049	0.07119921236549863	0.07855381727658725
dxy	8	new_multi	20000	0.078530346128125	0.07138096015625	0.08589373945312498	0.07855381727658725
pi	2	new	100650	0.033848622450430944	0.029243341104312075	0.038546044131413625	0.0359721300184811
pi	2	new_multi	100650	0.03597717312631579	0.030977342105263525	0.04108843421052673	0.0359721300184811
pi	2	old	100650	0.03384862244625704	0.029243341104312266	0.038546044131413375	0.0359721300184811
pi	4	new	100000	0.03333236408593545	0.028970684028007152	0.03780009981018082	0.0359721300184811
pi	4	new_multi	100000	0.03597739509871795	0.03116971794871835	0.040909871794872	0.0359721300184811
pi	6	new	100000	0.0330315701270276	0.0286984163325494	0.037453031692710755	0.0359721300184811
pi	6	new_multi	100000	0.03596597963220339	0.031163944915254347	0.0408509180790958	0.0359721300184811
pi	8	new	100000	0.03283192082961758	0.0285742369259473	0.0371625083757701	0.0359721300184811
pi	8	new_multi	100000	0.03596809354462025	0.031225340981012824	0.04081880933544262	0.0359721300184811
