ploidy	n_chrom	model	recomb	reps	multi_frac	mean_max_k	mean_D_old	sd_D_old	se_sd_old	mean_D_new	sd_D_new	se_sd_new
2	20	infinite	r0	2000	0.0	2.0	-0.09789765033140062	0.87681196742655	0.013867081687682914	-0.09789765033140062	0.87681196742655	0.013867081687682914
4	40	infinite	r0	2000	0.0	2.0	-0.11371141615518228	0.8702577394708686	0.013763424326883099	-0.11371141615518228	0.8702577394708686	0.013763424326883099
6	60	infinite	r0	2000	0.0	2.0	-0.13245376145471602	0.8770864059363854	0.01387142202674706	-0.13245376145471602	0.8770864059363854	0.01387142202674706
8	80	infinite	r0	2000	0.0	2.0	-0.10097471461799823	0.8897780692744731	0.014072145030994349	-0.10097471461799823	0.8897780692744731	0.014072145030994349
2	20	jc69	r0	2000	0.035184928654878024	3.362	0.020500807837818616	0.8656241474228971	0.013690142481032834	-0.11952727309108488	0.8290460761441357	0.013111647750983474
4	40	jc69	r0	2000	0.04590289453877305	3.593	0.0855147079203129	0.8902084579764536	0.01407895177578062	-0.0834055475192429	0.8388591084696407	0.013266844219458968
6	60	jc69	r0	2000	0.05084971775664621	3.6855	0.06325913151101759	0.9021675985696536	0.014268089681832614	-0.1146312809293791	0.8462873833925181	0.013384324932520444
8	80	jc69	r0	2000	0.05463071462799055	3.7685	0.041879186539479335	0.8995236304842233	0.014226274420656496	-0.14340744378716336	0.8380421297325903	0.013253923420810394
2	20	infinite	rmu	2000	0.0	2.0	-0.0007177454911873369	0.15599632768644037	0.002467135371515822	-0.0007177454911873369	0.15599632768644037	0.002467135371515822
4	40	infinite	rmu	2000	0.0	2.0	0.004066428207984009	0.15518247984340755	0.0024542640890288774	0.004066428207984009	0.15518247984340755	0.0024542640890288774
6	60	infinite	rmu	2000	0.0	2.0	-0.004809543141563394	0.15585239283954958	0.0024648589925957247	-0.004809543141563394	0.15585239283954958	0.0024648589925957247
8	80	infinite	rmu	2000	0.0	2.0	-0.00037440343734174863	0.15244396868345897	0.002410953596735877	-0.00037440343734174863	0.15244396868345897	0.002410953596735877
2	20	jc69	rmu	2000	0.03799324834772076	3.4185	0.11590561893240944	0.15524949784214284	0.0024553240016413104	-0.034872309799860335	0.1498558369173971	0.002370021406081815
4	40	jc69	rmu	2000	0.04805763362628733	3.655	0.1460688831087035	0.1529968958452302	0.002419698329249194	-0.029510706203916152	0.14507101708161257	0.0022943478409519825
6	60	jc69	rmu	2000	0.053232909283260854	3.7505	0.16831302742974683	0.15715400915081285	0.00248544450053226	-0.019262975025731367	0.14840988791254292	0.0023471532271433053
8	80	jc69	rmu	2000	0.05731420004010135	3.836	0.18047533557365653	0.1572210476562778	0.002486504737465649	-0.016783525846255653	0.14837612591304714	0.002346619269553377
